id,title,genre
11,Star Wars,"adventure,action,sciencefiction"
629,The Usual Suspects,"drama,crime,thriller"
98,Gladiator,"action,drama,adventure"
399106,Piper,"family,animation"
1124,The Prestige,"drama,mystery,sciencefiction"
857,Saving Private Ryan,"drama,history,war"
77,Memento,"mystery,thriller"
11324,Shutter Island,"drama,thriller,mystery"
603,The Matrix,"action,sciencefiction"
620683,My Mom is a Character 3,comedy
517814,Capernaum,drama
50014,The Help,drama
324786,Hacksaw Ridge,"drama,history,war"
508442,Soul,"animation,family,comedy,fantasy,drama"
103,Taxi Driver,"crime,drama"
406997,Wonder,"drama,family"
872,Singin' in the Rain,"comedy,music,romance,drama"
19,Metropolis,"drama,sciencefiction"
11878,Yojimbo,"drama,thriller"
475557,Joker,"crime,thriller,drama"
705,All About Eve,drama
133919,Scenes from a Marriage,"drama,romance"
289,Casablanca,"drama,romance"
439,La Dolce Vita,"comedy,drama"
400608,Bo Burnham: Make Happy,"comedy,music"
895,Andrei Rublev,"drama,history"
600354,The Father,drama
111,Scarface,"action,crime,drama"
20914,My Friends,comedy
1422,The Departed,"drama,thriller,crime"
548,Rashomon,"crime,drama,mystery"
100,"Lock, Stock and Two Smoking Barrels","comedy,crime"
472454,Ayla: The Daughter of War,"drama,war"
606856,Togo,"adventure,family"
996,Double Indemnity,"crime,drama,mystery,thriller"
666,Central Station,drama
992,Sherlock Jr.,"action,comedy,mystery"
640344,Me Against You: Mr. S's Vendetta,"comedy,family"
654299,Out of the Clear Blue Sky,"comedy,drama,music"
615457,Nobody,"action,crime,thriller"
500,Reservoir Dogs,"crime,thriller"
68718,Django Unchained,"drama,western"
831827,Far From the Tree,"animation,family"
55823,The Great War,"drama,comedy,war"
337404,Cruella,"comedy,crime"
600,Full Metal Jacket,"drama,war"
489,Good Will Hunting,drama
239,Some Like It Hot,"comedy,music,romance,crime"
935,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,"drama,comedy,war"
614,Wild Strawberries,drama
348,Alien,"horror,sciencefiction"
785534,Paper Lives,drama
411088,The Invisible Guest,"drama,mystery,thriller"
655,"Paris, Texas",drama
638507,How to Train Your Dragon: Homecoming,"animation,fantasy,adventure,action,family"
9764,Dersu Uzala,"action,adventure,drama"
5801,Pather Panchali,drama
149871,The Tale of The Princess Kaguya,"animation,drama,fantasy"
17663,Anne of Green Gables,"family,drama"
12445,Harry Potter and the Deathly Hallows: Part 2,"fantasy,adventure"
92060,Michael Jackson's Thriller,"horror,music"
24382,Big Deal on Madonna Street,"comedy,crime"
37165,The Truman Show,"comedy,drama"
3780,Red Beard,drama
832,M,"drama,action,thriller,crime"
550776,Believe Me: The Abduction of Lisa McVey,"drama,tvmovie"
843,In the Mood for Love,"drama,romance"
46738,Incendies,"drama,war,mystery"
42229,A Special Day,"drama,romance"
38288,I corti,comedy
7345,There Will Be Blood,drama
529531,Hannah Gadsby: Nanette,comedy
38,Eternal Sunshine of the Spotless Mind,"sciencefiction,drama,romance"
843906,Straight Outta Nowhere: Scooby-Doo! Meets Courage the Cowardly Dog,"animation,comedy,mystery,family,fantasy"
103663,The Hunt,drama
359940,"Three Billboards Outside Ebbing, Missouri","crime,drama"
334543,Lion,drama
652722,In the Arms of an Assassin,"romance,thriller"
14696,Ugetsu,"fantasy,drama,mystery"
574074,Kitbull,"animation,family,drama"
11659,The Best of Youth,"drama,history,romance"
55960,"Toto, Peppino, and the Hussy","comedy,romance"
780,The Passion of Joan of Arc,"drama,history"
147,The 400 Blows,drama
347688,Scooby-Doo! and Kiss: Rock and Roll Mystery,"family,animation,comedy"
406,La Haine,drama
449176,"Love, Simon","comedy,drama,romance"
387,Das Boot,"drama,history,war"
4348,Pride & Prejudice,"drama,romance"
1955,The Elephant Man,"drama,history"
1396,Mirror,"drama,history"
437068,A Taxi Driver,"action,drama,history"
81481,Silenced,drama
11645,Ran,"action,drama,history"
62,2001: A Space Odyssey,"sciencefiction,mystery,adventure"
515001,Jojo Rabbit,"comedy,war,drama"
9702,Bound by Honor,"crime,action,drama,thriller"
280,Terminator 2: Judgment Day,"action,thriller,sciencefiction"
282848,Doctor Who: The Time of the Doctor,"drama,sciencefiction,tvmovie"
8422,Rocco and His Brothers,"crime,drama"
8392,My Neighbor Totoro,"fantasy,animation,family"
19542,The Red Shoes,"drama,romance"
20530,Late Spring,drama
19426,Nights of Cabiria,drama
11423,Memories of Murder,"crime,drama,thriller"
482321,Ron's Gone Wrong,"animation,sciencefiction,family,comedy"
28422,Love Exposure,"action,comedy,drama,romance"
522518,A Dog's Journey,"family,adventure,drama"
339877,Loving Vincent,"animation,drama,mystery,history"
10681,WALL·E,"animation,family,sciencefiction"
381284,Hidden Figures,"drama,history"
146233,Prisoners,"drama,thriller,crime"
7347,Elite Squad,"drama,action,crime"
115929,Cool Kids Don't Cry,"family,romance,drama"
26022,My Name Is Khan,"drama,romance"
821,Judgment at Nuremberg,"drama,history,war"
538362,On My Skin,drama
568160,Weathering with You,"animation,drama,fantasy,romance"
522402,Finch,"sciencefiction,drama,adventure"
264644,Room,"drama,thriller"
120467,The Grand Budapest Hotel,"comedy,drama"
58007,Poverty and Nobility,comedy
438695,Sing 2,"animation,comedy,family,music"
400928,Gifted,"drama,comedy"
634649,Spider-Man: No Way Home,"action,adventure,sciencefiction"
455661,In a Heartbeat,"family,animation,romance,comedy"
397567,Along with the Gods: The Two Worlds,"drama,fantasy,action"
582,The Lives of Others,"drama,thriller"
632322,All My Life,"romance,drama"
9277,The Sting,"comedy,crime,drama"
595,To Kill a Mockingbird,"crime,drama"
204,The Wages of Fear,"drama,thriller,adventure"
550205,Wish Dragon,"animation,family,comedy,fantasy"
20941,Innocent Voices,"drama,war"
28978,The Circus,"comedy,romance"
11104,Chungking Express,"drama,comedy,romance"
961,The General,"action,adventure,comedy,drama,war"
310569,The Second Mother,drama
21634,Prayers for Bobby,"drama,history,tvmovie"
938,For a Few Dollars More,western
110416,Song of the Sea,"family,animation,fantasy"
378108,In This Corner of the World,"drama,animation,romance,war,history"
800,The Young and the Damned,"crime,drama"
3090,The Treasure of the Sierra Madre,"adventure,drama,western"
521,Dial M for Murder,"crime,thriller"
458220,Palmer,drama
429210,Bingo: The King of the Mornings,"comedy,drama"
1059,The Hidden Fortress,"adventure,drama,action,comedy"
776503,CODA,"drama,music,romance"
610461,"Veinteañera, Divorciada y Fantástica",comedy
20803,Ivan Vasilyevich Changes His Profession,"comedy,sciencefiction"
962,The Gold Rush,"adventure,comedy,drama"
641,Requiem for a Dream,"crime,drama"
307,"Rome, Open City","drama,history"
14,American Beauty,drama
38360,The Cranes Are Flying,"drama,romance,war"
106646,The Wolf of Wall Street,"crime,drama,comedy"
15,Citizen Kane,"mystery,drama"
678580,El mesero,comedy
158445,Miracle in Cell No. 7,"drama,comedy"
11778,The Deer Hunter,"drama,war"
15244,A Man Escaped,"thriller,drama,war,history"
2517,Nobody Knows,drama
279,Amadeus,"history,music,drama"
315465,The Boy and the Beast,"animation,fantasy,action,adventure,drama"
554596,No Manches Frida 2,comedy
426618,Where Hands Touch,"war,drama,romance"
12761,Autumn Sonata,drama
673,Harry Potter and the Prisoner of Azkaban,"adventure,fantasy"
1091,The Thing,"horror,mystery,sciencefiction"
424694,Bohemian Rhapsody,"music,drama,history"
654,On the Waterfront,"crime,drama"
205596,The Imitation Game,"history,drama,thriller,war"
7508,Like Stars on Earth,drama
524,Casino,"crime,drama"
776305,Belle,"animation,drama,sciencefiction,music"
501929,The Mitchells vs. the Machines,"animation,adventure,comedy"
28178,Hachi: A Dog's Tale,"drama,family"
12104,Pink Floyd: The Wall,"music,drama"
237791,The Way He Looks,"drama,romance"
25376,The Secret in Their Eyes,"crime,drama,mystery"
11658,Tae Guk Gi: The Brotherhood of War,"action,adventure,drama,history,war"
488623,Forgotten,"thriller,mystery,drama,horror,crime"
770,Gone with the Wind,"drama,war,romance"
667520,A Whisker Away,"animation,drama,romance,fantasy"
140420,Paperman,"animation,family,romance"
13223,Gran Torino,drama
3175,Barry Lyndon,"drama,romance,war"
41050,La Notte,"drama,romance"
359724,Ford v Ferrari,"drama,action,history"
11712,Sanjuro,"drama,action,comedy"
242828,When Marnie Was There,"animation,drama"
213,North by Northwest,"mystery,thriller"
360814,Dangal,"drama,action"
94047,My Way,"drama,action,history,war"
560066,Scooby-Doo! and the Curse of the 13th Ghost,"comedy,family,animation,adventure,mystery"
1580,Rope,"crime,drama,thriller"
1578,Raging Bull,"drama,history"
1092,The Third Man,"thriller,mystery"
20875,Operation Y and Other Shurik's Adventures,comedy
29264,The Exterminating Angel,"comedy,drama,fantasy"
20334,The Shop Around the Corner,"comedy,drama,romance"
18438,Castaway on the Moon,"drama,comedy,romance"
28971,Limelight,"drama,music,romance"
527774,Raya and the Last Dragon,"animation,family,fantasy,action,adventure"
406785,Inner Workings,"animation,family,comedy"
10238,Cries and Whispers,drama
458302,"Remi, Nobody's Boy","adventure,family,drama"
142061,"Batman: The Dark Knight Returns, Part 2","sciencefiction,action,animation,mystery"
523781,Words on Bathroom Walls,"drama,romance"
15383,Army of Shadows,"war,drama,thriller"
573164,An Egg Rescue,"animation,comedy"
455714,Bad Genius,"comedy,drama,crime,thriller"
20453,3 Idiots,"drama,comedy"
627,Trainspotting,"drama,crime"
530915,1917,"war,drama,action,thriller,history"
947,Lawrence of Arabia,"war,history,adventure,drama"
489412,It's Such a Beautiful Day,"drama,animation,comedy"
10515,Castle in the Sky,"adventure,fantasy,animation,action,family,romance"
45752,Scooby-Doo! Camp Scare,"animation,comedy,family,mystery"
20271,Divorce Italian Style,comedy
405,La Strada,drama
24,Kill Bill: Vol. 1,"action,crime"
38286,Three Men and a Leg,comedy
775,A Trip to the Moon,"adventure,sciencefiction"
110,Three Colors: Red,"drama,mystery,romance"
801335,Girl in the Basement,"crime,thriller"
10242,What Ever Happened to Baby Jane?,"drama,horror,thriller"
10404,Raise the Red Lantern,drama
862,Toy Story,"animation,adventure,family,comedy"
17295,The Battle of Algiers,"drama,war,history"
3777,Throne of Blood,"drama,history"
70,Million Dollar Baby,drama
920394,My Father's Violin,"drama,music"
414419,Kill Bill: The Whole Bloody Affair,"action,crime,thriller"
505262,My Hero Academia: Two Heroes,"animation,action,adventure,fantasy"
31411,The Cameraman,"comedy,romance,drama,family"
76,Before Sunrise,"drama,romance"
21334,Children of Heaven,"drama,family"
49964,Where Is My Friend's House?,"drama,family"
588228,The Tomorrow War,"action,sciencefiction,adventure"
234,The Cabinet of Dr. Caligari,"drama,horror,thriller,crime"
149,Akira,"animation,sciencefiction,action"
7857,Amarcord,"comedy,drama"
640,Catch Me If You Can,"drama,crime"
76203,12 Years a Slave,"drama,history"
20722,La Maison en Petits Cubes,animation
11010,The Postman,"comedy,drama,romance"
5925,The Great Escape,"adventure,drama,history,thriller,war"
594634,Close to the Horizon,"drama,romance"
779047,Us Again,"animation,romance,drama"
43949,Flipped,"romance,drama"
548544,Invisible Life,drama
152532,Dallas Buyers Club,"drama,history"
756999,The Black Phone,"horror,thriller"
491480,The Boy Who Harnessed the Wind,"drama,history,family"
745,The Sixth Sense,"mystery,thriller,drama"
522212,Just Mercy,"drama,crime,history"
160885,Tel chi el telùn,comedy
14160,Up,"animation,comedy,family,adventure"
556901,Teen Titans Go! vs. Teen Titans,"action,animation"
552532,Charm City Kings,drama
316029,The Greatest Showman,drama
9323,Ghost in the Shell,"action,animation,sciencefiction"
3083,Mr. Smith Goes to Washington,"comedy,drama"
223,Rebecca,"mystery,drama,thriller,romance"
32085,Vincent,"animation,fantasy"
33,Unforgiven,western
435129,The Breadwinner,"animation,war,drama"
8290,La Grande Vadrouille,"comedy,war"
3034,Young Frankenstein,comedy
508943,Luca,"animation,comedy,family,fantasy"
334533,Captain Fantastic,"adventure,drama"
1646,Freedom Writers,"crime,drama"
150540,Inside Out,"animation,family,adventure,drama,comedy"
48035,Ordet,drama
25364,Ace in the Hole,drama
24167,Two Women,"drama,war"
2011,Persepolis,"animation,drama"
197,Braveheart,"action,drama,history,war"
78,Blade Runner,"sciencefiction,drama,thriller"
613868,Cousins,"comedy,romance,drama"
10674,Mulan,"animation,family,adventure"
6977,No Country for Old Men,"crime,drama,thriller"
662,La Jetée,"romance,sciencefiction"
597316,My Little Pony: A New Generation,"animation,family,fantasy,comedy,music,adventure"
829,Chinatown,"crime,drama,mystery,thriller"
329,Jurassic Park,"adventure,sciencefiction"
60243,A Separation,drama
81,Nausicaä of the Valley of the Wind,"adventure,animation,fantasy"
85,Raiders of the Lost Ark,"adventure,action"
31439,To Live,"drama,romance,war"
10728,Faust,"drama,fantasy,horror"
37797,Whisper of the Heart,"animation,drama,family"
615453,Ne Zha,"animation,fantasy,adventure"
331482,Little Women,"drama,romance"
10386,The Iron Giant,"family,animation,adventure,sciencefiction,comedy"
7984,In the Name of the Father,drama
671,Harry Potter and the Philosopher's Stone,"adventure,fantasy"
183011,Justice League: The Flashpoint Paradox,"sciencefiction,animation,action,adventure"
47796,Mamma Roma,drama
2721,Z,"drama,history,thriller"
679,Aliens,"action,thriller,sciencefiction"
631,Sunrise: A Song of Two Humans,"drama,romance"
45523,Louis C.K.: Hilarious,comedy
3870,1900,"drama,history"
3112,The Night of the Hunter,"crime,drama,thriller"
122906,About Time,"drama,romance,fantasy"
198,To Be or Not to Be,"comedy,war"
118340,Guardians of the Galaxy,"action,sciencefiction,adventure"
29455,Winter Light,drama
1892,Return of the Jedi,"adventure,action,sciencefiction"
194,Amélie,"comedy,romance"
564427,Minha Vida em Marte,"comedy,romance"
369557,Sing Street,"comedy,romance,drama,music"
1402,The Pursuit of Happyness,drama
946,Letter from an Unknown Woman,"drama,romance"
804,Roman Holiday,"romance,comedy,drama"
746957,You've Got This,"romance,comedy"
56231,The Working Class Goes to Heaven,drama
31442,Ivan's Childhood,"drama,war"
579245,The Specials,"comedy,drama"
25538,Yi Yi,"drama,romance"
3078,It Happened One Night,"comedy,romance"
16,Dancer in the Dark,"drama,crime"
83564,La luna,"animation,family"
949,Heat,"action,crime,drama,thriller"
752,V for Vendetta,"action,thriller,fantasy"
301,Rio Bravo,western
379170,Sherlock: The Abominable Bride,"crime,drama,mystery,tvmovie"
16390,Scooby-Doo! and the Samurai Sword,"family,mystery,animation,comedy,action,fantasy"
13398,Tokyo Godfathers,"animation,drama,comedy"
367412,Whiplash,"drama,music"
348892,Bajrangi Bhaijaan,"action,comedy,drama"
296096,Me Before You,"drama,romance"
404378,A Street Cat Named Bob,"family,drama"
1394,Nostalgia,"drama,romance"
6715,The Cure,"drama,family"
10997,Farewell My Concubine,drama
726684,Miraculous World: Shanghai – The Legend of Ladydragon,"animation,family,adventure,fantasy,action,tvmovie"
210577,Gone Girl,"mystery,thriller,drama"
843241,The Seven Deadly Sins: Cursed by Light,"animation,fantasy"
391,A Fistful of Dollars,western
30588,Monsieur Verdoux,"comedy,crime"
1675,Day for Night,"comedy,drama"
11293,Paper Moon,"comedy,crime,drama"
827,Diabolique,"drama,horror,thriller"
86000,Always,"romance,drama,adventure"
430424,See You Up There,"drama,crime,war"
313369,La La Land,"comedy,drama,romance,music"
11830,Tampopo,comedy
303867,World of Tomorrow,"animation,drama,sciencefiction"
20873,The Diamond Arm,"adventure,comedy,crime"
381341,Perfect Strangers,"comedy,drama"
16804,Departures,drama
275,Fargo,"crime,drama,thriller"
11036,The Notebook,"romance,drama"
593,Solaris,"drama,sciencefiction,mystery"
393,Kill Bill: Vol. 2,"action,crime,thriller"
266856,The Theory of Everything,"drama,romance"
833,Umberto D.,drama
505192,Shoplifters,drama
597,Titanic,"drama,romance"
22596,Safety Last!,"comedy,romance,action"
2440,Joint Security Area,"war,drama,thriller,action"
5511,Le Samouraï,"crime,thriller"
22843,Evangelion: 2.0 You Can (Not) Advance,"animation,sciencefiction,action,drama"
934,Rififi,"drama,action,crime"
438631,Dune,"sciencefiction,adventure"
10774,Network,drama
1162,The Miracle Worker,drama
235,Stand by Me,"crime,drama"
398924,A Bag of Marbles,"war,drama"
93,Anatomy of a Murder,"crime,drama,mystery,thriller"
23160,Werckmeister Harmonies,drama
399174,Isle of Dogs,"adventure,comedy,animation"
152601,Her,"romance,sciencefiction,drama"
33320,Millennium Actress,"animation,drama,romance"
602063,Rurouni Kenshin: The Final,"action,adventure,drama"
293299,Feast,"animation,comedy,drama,family"
705861,Hustle,"drama,comedy"
579792,Cindy La Regia,"comedy,romance"
445030,No Game No Life: Zero,"animation,action,drama"
5544,Hiroshima Mon Amour,"drama,history,romance"
546554,Knives Out,"comedy,crime,mystery"
352173,Drishyam,"crime,drama,thriller,mystery"
5924,Papillon,"crime,drama"
677638,We Bare Bears: The Movie,"animation,adventure,family,comedy,tvmovie"
614917,King Richard,"drama,history"
11602,Through a Glass Darkly,drama
185789,Mulholland Dr.,"thriller,tvmovie,drama,mystery"
11953,Kagemusha,"action,drama,history,war"
180147,We Are the Nobles,comedy
581,Dances with Wolves,"adventure,drama,western"
113833,The Normal Heart,drama
24238,Mary and Max,"animation,comedy,drama"
14574,The Boy in the Striped Pyjamas,"war,drama,history"
